city_id:,city_name,longitude,latitude,weather,description,weather_main,weather_icon,weather_base,weather_temperature,weather_feel_like,min_temperature,max_temperature,pressure,humidity,sea_level,ground_level,visibility,wind_speed,wind_deg,wind_gust,cloudiness,sunrise_time,sunset_time,timezone
1258847,Rajkot,70.7833,22.3,800,Clear sky,Clear,01d,stations,298.31,297.22,298.31,298.31,1014,13,1014,None,None,4.82,20,5.16,0,12/24/22 AM,12/24/22 PM,01/01/70 AM
1258526,Ranchi,85.3333,23.35,721,haze,Haze,50d,stations,299.21,299.21,299.21,299.21,1014,38,1014,None,None,3.09,250,None,0,12/24/22 AM,12/24/22 PM,01/01/70 AM
1228730,Ratnapura,80.3992,6.6828,803,broken clouds,Clouds,04d,stations,304.57,308.64,304.57,304.57,1007,59,1007,None,None,3.6,309,4.47,52,12/24/22 AM,12/24/22 PM,01/01/70 AM
1257629,Salem,78.1667,11.65,804,overcast clouds,Clouds,04d,stations,302.39,302.41,302.39,302.39,1009,44,1009,None,None,2.44,17,3.43,91,12/24/22 AM,12/24/22 PM,01/01/70 AM
1256436,Solapur,75.9167,17.6833,800,clear sky ,clear,01d,stations,302.79,301.45,302.79,302.79,1011,28,1011,None,None,2.75,159,2.16,9,12/24/22 AM,12/24/22 PM,01/01/70 AM
1255634,Srinagar,74.8167,34.0833,800,clear sky ,clear,01d,stations,281.45,281.45,281.45,281.45,1019,20,1019,None,None,1.04,274,1.12,1,12/24/22 AM,12/24/22 PM,01/01/70 AM
1265331,Sujangarh,74.4649,27.7011,800,clear sky,clear,01d,stations,294.07,292.56,294.07,294.07,1016,13,1016,None,None,3.62,20,3.71,0,12/24/22 AM,12/24/22 PM,01/01/70 AM
1255364,Surat,72.8333,21.1667,800,clear sky,clear,01d,stations,299.14,299.14,299.14,299.14,1012,29,1012,None,None,5.14,10,None,1,12/24/22 AM,12/24/22 PM,01/01/70 AM
1278840,Tambaram,80.1118,12.9299,721,haze,Haze,05d,stations,303.01,307.85,303.01,303.01,1009,70,1009,None,None,6.17,40,None,40,12/24/22 AM,12/24/22 PM,01/01/70 AM
1254661,Thane,72.9667,19.2,711,smoke,smoke,50d,stations,303.1,301.35,301.05,303.1,1011,20,1011,None,None,4.63,300,None,16,12/24/22 AM,12/24/22 PM,01/01/70 AM
1254649,Thanjavur,79.15,10.8,802,scattered Clouds,Clouds,03d,stations,304.46,308.66,304.46,304.46,1008,60,1008,None,None,6.49,9,7.76,32,12/24/22 AM,12/24/22 PM,01/01/70 AM
1254361,Tirunelveli,77.7,8.7333,803,broken clouds,Clouds,04d,stations,306.1,307.76,306.1,306.1,1008,44,1008,None,None,2.01,2,2.68,68,12/24/22 AM,12/24/22 PM,01/01/70 AM
1254348,Tirupur,77.35,11.1,804,overcast clouds,Clouds,04d,stations,304.79,305.82,304.79,304.79,1009,45,1009,None,None,2.91,35,3.43,93,12/24/22 AM,12/24/22 PM,01/01/70 AM
1254327,Tiruvannamalai,79.0667,12.2167,804,overcast clouds,Clouds,04d,stations,301.03,302.42,301.03,301.03,1009,60,1009,None,None,5.06,27,6.25,100,12/24/22 AM,12/24/22 PM,01/01/70 AM
1226260,Trincomalee,81.2335,8.5711,802,scattered Clouds,Clouds,03d,stations,299.8,299.8,299.8,299.8,1007,82,1007,None,None,8.41,333,10.6,39,12/24/22 AM,12/24/22 PM,01/01/70 AM
1253573,Vadodara,73.2,22.3,711,smoke,smoke,50d,stations,298.13,297.62,298.13,298.13,1012,36,1012,None,None,3.6,30,None,0,12/24/22 AM,12/24/22 PM,01/01/70 AM
1253405,Varanasi,83,25.3333,721,haze,Haze,50d,stations,298.2,298.07,298.2,298.2,1012,50,1012,None,None,2.57,70,None,40,12/24/22 AM,12/24/22 PM,01/01/70 AM
1253184,Vijayawada,80.6167,16.5167,721,haze,Haze,50d,stations,302.12,303.28,302.12,302.12,1010,54,1010,None,None,2.06,60,None,33,12/24/22 AM,12/24/22 PM,01/01/70 AM
1253102,Visakhapatnam,83.2093,17.69,721,haze,Haze,50d,stations,303.09,303,303.09,303.09,1012,42,1012,None,None,4012,70,None,6,12/24/22 AM,12/24/22 PM,01/01/70 AM
